date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:27	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%2267e25981-18%22	https://waifu.zoneplay.vn/robots.txt		(from )
19:57:27	117932/117932	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:27%20GMT	https://waifu.zoneplay.vn/	./waifu/waifu.zoneplay.vn/index.html	(from )
19:57:27	71/71	---MC-	401	error ('Unauthorized')	text/html	date:Thu,%2014%20Aug%202025%2012:57:27%20GMT	https://waifu.zoneplay.vn/landing	./waifu/waifu.zoneplay.vn/landing	(from https://waifu.zoneplay.vn/)
19:57:29	99714/99714	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:28%20GMT	https://waifu.zoneplay.vn/play	./waifu/waifu.zoneplay.vn/play.html	(from https://waifu.zoneplay.vn/)
19:57:30	57541/57541	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:29%20GMT	https://waifu.zoneplay.vn/su-kien/kenh-nap-zoneplay-uu-dai-den-50	./waifu/waifu.zoneplay.vn/su-kien/kenh-nap-zoneplay-uu-dai-den-50.html	(from https://waifu.zoneplay.vn/)
19:57:31	59165/59165	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:30%20GMT	https://waifu.zoneplay.vn/tin-tuc/su-kien-tan-thu-hap-dan	./waifu/waifu.zoneplay.vn/tin-tuc/su-kien-tan-thu-hap-dan.html	(from https://waifu.zoneplay.vn/)
19:57:32	58699/58699	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:31%20GMT	https://waifu.zoneplay.vn/tin-tuc	./waifu/waifu.zoneplay.vn/tin-tuc.html	(from https://waifu.zoneplay.vn/)
19:57:33	58528/58528	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:32%20GMT	https://waifu.zoneplay.vn/su-kien/dac-quyen-vip-waifu-party	./waifu/waifu.zoneplay.vn/su-kien/dac-quyen-vip-waifu-party.html	(from https://waifu.zoneplay.vn/)
19:57:34	58835/58835	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2012:57:33%20GMT	https://waifu.zoneplay.vn/su-kien	./waifu/waifu.zoneplay.vn/su-kien.html	(from https://waifu.zoneplay.vn/)
19:57:34	151/151	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Aug%202025%2012:57:34%20GMT	https://waifu.zoneplay.vn/cdn-cgi/l/email-protection	./waifu/waifu.zoneplay.vn/cdn-cgi/l/email-protection	(from https://waifu.zoneplay.vn/)
19:57:36	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2014%20Aug%202025%2012:57:35%20GMT	https://waifu.zoneplay.vn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	./waifu/waifu.zoneplay.vn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://waifu.zoneplay.vn/)
19:57:37	30832/30832	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:36%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
19:57:37	5003/5003	---MCZ	200	added ('OK')	application/json	date:Thu,%2014%20Aug%202025%2012:57:36%20GMT	https://waifu.zoneplay.vn/g34/servers-data/	./waifu/waifu.zoneplay.vn/g34/servers-data/index.html	(from https://waifu.zoneplay.vn/)
19:57:38	9520/9520	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:38%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
19:57:38	19596/19596	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:38%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
19:57:40	25208/25208	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:39%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
19:57:41	40896/40896	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:40%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
19:57:42	43048/43048	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:41%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
19:57:42	25668/25668	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:42%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
19:57:44	22532/22532	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:43%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
19:57:44	9288/9288	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2012:57:44%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
