date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:24	99383/99383	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:24%20GMT	https://waifu.zoneplay.vn/play	./waifu/waifu.zoneplay.vn/play.html	(from )
18:48:25	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%2267e25981-18%22	https://waifu.zoneplay.vn/robots.txt		(from )
18:48:25	71/71	---MC-	401	error ('Unauthorized')	text/html	date:Thu,%2014%20Aug%202025%2011:48:25%20GMT	https://waifu.zoneplay.vn/landing	./waifu/waifu.zoneplay.vn/landing	(from https://waifu.zoneplay.vn/play)
18:48:27	30832/30832	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:26%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
18:48:28	25208/25208	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:27%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
18:48:29	19596/19596	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:28%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
18:48:30	9520/9520	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:29%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
18:48:31	40896/40896	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:30%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/normal.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/normal.woff2	(from https://waifu.zoneplay.vn/play)
18:48:32	43048/43048	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:31%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
18:48:33	25668/25668	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:32%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic-ext/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
18:48:34	22532/22532	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:33%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/cyrillic/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
18:48:34	9288/9288	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:34%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/vietnamese/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
18:48:36	30884/30884	---M--	200	added ('OK')	font/woff2	date:Thu,%2014%20Aug%202025%2011:48:35%20GMT	https://waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/italic.woff2	./waifu/waifu.zoneplay.vn/cf-fonts/v/exo-2/5.0.16/latin-ext/wght/italic.woff2	(from https://waifu.zoneplay.vn/play)
18:48:37	15689/15689	---MCZ	200	added ('OK')	text/css	etag:W/%22684d9c1c-3d49%22	https://waifu.zoneplay.vn/FormH5/style.css	./waifu/waifu.zoneplay.vn/FormH5/style.css	(from https://waifu.zoneplay.vn/play)
18:48:37	4492/4492	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Aug%202025%2011:48:37%20GMT	https://waifu.zoneplay.vn/GET	./waifu/waifu.zoneplay.vn/GET	(from https://waifu.zoneplay.vn/play)
18:48:39	696/696	---MCZ	200	added ('OK')	application/json	etag:W/%2267e372f0-2b8%22	https://waifu.zoneplay.vn/G34/manifest.json	./waifu/waifu.zoneplay.vn/G34/manifest.json	(from https://waifu.zoneplay.vn/play)
18:48:39	556/556	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267fcc379-22c%22	https://waifu.zoneplay.vn/G34/sw.js	./waifu/waifu.zoneplay.vn/G34/sw.js	(from https://waifu.zoneplay.vn/play)
18:48:41	117639/117639	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:40%20GMT	https://waifu.zoneplay.vn/home	./waifu/waifu.zoneplay.vn/home.html	(from https://waifu.zoneplay.vn/play)
18:48:41	117639/117639	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:41%20GMT	https://waifu.zoneplay.vn/	./waifu/waifu.zoneplay.vn/index.html	(from https://waifu.zoneplay.vn/play)
18:48:42	3576/3576	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267fcbcd3-df8%22	https://waifu.zoneplay.vn/FormH5/main.js	./waifu/waifu.zoneplay.vn/FormH5/main.js	(from https://waifu.zoneplay.vn/play)
18:48:43	90716/90716	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:42%20GMT	https://waifu.zoneplay.vn/play-now	./waifu/waifu.zoneplay.vn/play-now.html	(from https://waifu.zoneplay.vn/play)
18:48:44	60548/60548	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:43%20GMT	https://waifu.zoneplay.vn/huong-dan/cach-tao-icon-waifu-party-tren-man-hinh	./waifu/waifu.zoneplay.vn/huong-dan/cach-tao-icon-waifu-party-tren-man-hinh.html	(from https://waifu.zoneplay.vn/play)
18:48:45	57248/57248	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Aug%202025%2011:48:44%20GMT	https://waifu.zoneplay.vn/su-kien/kenh-nap-zoneplay-uu-dai-den-50	./waifu/waifu.zoneplay.vn/su-kien/kenh-nap-zoneplay-uu-dai-den-50.html	(from https://waifu.zoneplay.vn/)
